grid_id,ppi_information_threshold_z,ppi_noise_threshold_z,recovery_information_min_ratio,recovery_noise_max_ratio,valid_scored_rows,baseline_computed_count,computed_count,information_count,noise_count,high_confidence_count,low_confidence_count,computed_relative_change,information_share,information_share_shift,baseline_computed_flip_count,baseline_computed_flip_rate,gridpoint_indicator,overall_scenario_indicator
023_ppi_i1.5_ppi_n1_rr_i1.25_rr_n1.05,1.500000,1.000000,1.250000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
024_ppi_i1.5_ppi_n1_rr_i1.25_rr_n1.1,1.500000,1.000000,1.250000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
025_ppi_i1.5_ppi_n1_rr_i1.35_rr_n1.02,1.500000,1.000000,1.350000,1.020000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
026_ppi_i1.5_ppi_n1_rr_i1.35_rr_n1.05,1.500000,1.000000,1.350000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
027_ppi_i1.5_ppi_n1_rr_i1.35_rr_n1.1,1.500000,1.000000,1.350000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
028_ppi_i2_ppi_n0.5_rr_i1.15_rr_n1.02,2.000000,0.500000,1.150000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
029_ppi_i2_ppi_n0.5_rr_i1.15_rr_n1.05,2.000000,0.500000,1.150000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
030_ppi_i2_ppi_n0.5_rr_i1.15_rr_n1.1,2.000000,0.500000,1.150000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
031_ppi_i2_ppi_n0.5_rr_i1.25_rr_n1.02,2.000000,0.500000,1.250000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
032_ppi_i2_ppi_n0.5_rr_i1.25_rr_n1.05,2.000000,0.500000,1.250000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
033_ppi_i2_ppi_n0.5_rr_i1.25_rr_n1.1,2.000000,0.500000,1.250000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
034_ppi_i2_ppi_n0.5_rr_i1.35_rr_n1.02,2.000000,0.500000,1.350000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
035_ppi_i2_ppi_n0.5_rr_i1.35_rr_n1.05,2.000000,0.500000,1.350000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
036_ppi_i2_ppi_n0.5_rr_i1.35_rr_n1.1,2.000000,0.500000,1.350000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
037_ppi_i2_ppi_n0.75_rr_i1.15_rr_n1.02,2.000000,0.750000,1.150000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
038_ppi_i2_ppi_n0.75_rr_i1.15_rr_n1.05,2.000000,0.750000,1.150000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
039_ppi_i2_ppi_n0.75_rr_i1.15_rr_n1.1,2.000000,0.750000,1.150000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
040_ppi_i2_ppi_n0.75_rr_i1.25_rr_n1.02,2.000000,0.750000,1.250000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
