cohort,model,ll_in_sample,ll_oos,n_in_sample_events,n_oos_events,n_params,aic,bic,branching_spectral_radius,fit_status,ll_in_sample_m0,ll_diff_m0_vs_m_endog,aic_delta_m0_vs_m_endog,bic_delta_m0_vs_m_endog,five_nat_gap_flag
main,M_endog,-5359.131669,-1342.787770,1920,480,10,10738.263338,10793.864143,1.561656e-01,fit_completed,-5358.818270,0.313399,5.373202,22.053443,in-sample gap below 5.0 nats
robustness_symbol,M_endog,-4914.678741,-1228.975270,1760,440,10,9849.357482,9904.088173,6.791157e-03,fit_completed,-4909.223627,5.455114,-4.910228,11.508979,in-sample gap at or above 5.0 nats
