cohort_name,symbol,cluster_strategy,n_bootstrap,random_seed,alpha,material_pvalue_shift,raw_computed_label_rows,deduplicated_event_count,cluster_count,max_cluster_size,singleton_cluster_count,original_lrt_p_value,adjusted_lrt_p_value,scenario_indicator,failure_reason
main,BTCUSDT,same_source_same_time,1000,20260504,0.050000,0.100000,24,12,4,7,2,0.666442,NULL,F_dependence_audit_failed,missing_per_cluster_likelihood_contributions
robustness_symbol,ETHUSDT,same_source_same_time,1000,20260504,0.050000,0.100000,22,11,3,7,1,0.999293,NULL,F_dependence_audit_failed,missing_per_cluster_likelihood_contributions
